,album_score
Alla Fiera Dell'Est,4.66
Basket of Light,4.66
Octopus,4.64
A Space in Time (Deluxe Version),4.64
English Rose,4.64
Moving Waves (2020 Remastered Edition),4.63
Imaginary Voyage,4.63
Shiraz,4.62
Torneremo Ancora,4.62
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),4.58
The Complete Savoy & Dial Master Takes,4.58
The Return of The Durutti Column,4.57
The Best of Talking Heads,4.57
Willy And The Poor Boys (Expanded Edition),4.55
Doolittle,4.55
Let It Bleed,4.53
Canto Libre,4.53
Like Crying: The Songs of Danny Kirwan,4.5
rearviewmirror (greatest hits 1991-2003),4.5
Traffic,4.46
Fragile (Super Deluxe),4.45
After the Gold Rush (2009 Remaster),4.41
Surrealistic Pillow,4.39
Live,4.38
"Meaty, Beaty, Big And Bouncy",4.36
Fleurs,4.36
Full Metal Jacket (Original Motion Picture Soundtrack),4.29
The Grateful Dead,4.25
Absolutely Free,4.25
Smiley Smile (Remastered),4.22
Rubber Soul (Remastered 2009),4.18
Incense And Peppermints,4.09
One Hot Minute (Deluxe Edition),4.04
THRAK,3.73
