group,variable,value,daily_score,n_tracks,n_utracks,daily_dur
Kajagoogoo,15,8,165,22,19,86.83
King Crimson,15,6,68,8,8,34.44
New Order,15,0,0,0,0,0
Premiata Forneria Marconi,15,4,44,5,5,24.9
Depeche Mode,15,0,0,0,0,0
Banco Del Mutuo Soccorso,15,8,111,13,13,69.83
The Dandy Warhols,15,0,0,0,0,0
Van Der Graaf Generator,16,0,0,0,0,0
Franco Battiato,16,8,104,13,12,55.67
Yes,16,8,114,17,10,87.55
Kajagoogoo,16,0,0,0,0,0
King Crimson,16,1,10,1,1,4.88
New Order,16,0,0,0,0,0
Premiata Forneria Marconi,16,8,179,22,22,96.72
Depeche Mode,16,0,0,0,0,0
Banco Del Mutuo Soccorso,16,0,0,0,0,0
The Dandy Warhols,16,0,0,0,0,0
Van Der Graaf Generator,17,0,0,0,0,0
Franco Battiato,17,1,18,2,2,8.43
Yes,17,8,112,13,13,78.9
Kajagoogoo,17,2,27,3,3,13.3
King Crimson,17,3,35,4,4,16.06
New Order,17,0,0,0,0,0
Premiata Forneria Marconi,17,8,82,10,9,52.04
Depeche Mode,17,0,0,0,0,0
Banco Del Mutuo Soccorso,17,0,0,0,0,0
The Dandy Warhols,17,0,0,0,0,0
Van Der Graaf Generator,18,6,64,7,7,49.3
Franco Battiato,18,1,18,2,2,7.06
Yes,18,8,218,26,25,192.75
Kajagoogoo,18,3,36,4,4,18.51
King Crimson,18,4,47,5,5,32.91
New Order,18,0,0,0,0,0
Premiata Forneria Marconi,18,3,31,4,3,17.03
Depeche Mode,18,0,0,0,0,0
Banco Del Mutuo Soccorso,18,0,0,0,0,0
The Dandy Warhols,18,1,10,1,1,4.13
Van Der Graaf Generator,19,8,106,12,12,83.7
Franco Battiato,19,0,0,0,0,0
Yes,19,0,0,0,0,0
Kajagoogoo,19,0,0,0,0,0
King Crimson,19,1,11,1,1,6.45
New Order,19,0,0,0,0,0
Premiata Forneria Marconi,19,8,92,11,11,47.59
Depeche Mode,19,0,0,0,0,0
Banco Del Mutuo Soccorso,19,0,9,1,1,2.65
The Dandy Warhols,19,0,0,0,0,0
Van Der Graaf Generator,20,6,62,7,7,37.23
Franco Battiato,20,0,0,0,0,0
Yes,20,6,64,7,7,46.24
Kajagoogoo,20,8,175,24,19,112.06
King Crimson,20,0,0,0,0,0
New Order,20,2,29,3,3,20.15
Premiata Forneria Marconi,20,0,0,0,0,0
Depeche Mode,20,2,21,2,2,17.52
Banco Del Mutuo Soccorso,20,0,0,0,0,0
The Dandy Warhols,20,0,0,0,0,0
Van Der Graaf Generator,21,3,32,3,3,30.57
Franco Battiato,21,1,10,1,1,4.28
Yes,21,4,44,5,5,24.21
Kajagoogoo,21,1,11,1,1,6.58
King Crimson,21,0,0,0,0,0
New Order,21,0,0,0,0,0
Premiata Forneria Marconi,21,0,0,0,0,0
Depeche Mode,21,1,19,2,2,10.69
Banco Del Mutuo Soccorso,21,0,0,0,0,0
The Dandy Warhols,21,0,0,0,0,0
Van Der Graaf Generator,22,0,0,0,0,0
Franco Battiato,22,7,75,9,9,34.64
Yes,22,0,0,0,0,0
Kajagoogoo,22,8,98,13,11,49.98
King Crimson,22,1,11,1,1,6.44
New Order,22,2,27,3,3,11.52
Premiata Forneria Marconi,22,1,10,1,1,5.4
Depeche Mode,22,1,12,1,1,9.59
Banco Del Mutuo Soccorso,22,0,0,0,0,0
The Dandy Warhols,22,0,0,0,0,0
