index,track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,plays,dt,unique_days_score,track_score
0,73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Parallels - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-01T21:58:27,353906,3,2026-05-01,4.5,10.43
1,2cTfzU2iNMI9aZSPOL3mYx,6ELt0QaMOwPGPzfdEXE839,7M1FPw29m5FbicYzS2xdpi,Larks' Tongues In Aspic (Part I),King Crimson,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),2026-05-01T21:50:30,815675,1,2026-05-01,1.5,5.18
2,43IYZ1zQpbXXWhGQEgjAjb,7isYifHXAT7wbuxbJziBG3,2LIdnZDzySb04oH40be1fR,Who Knows Where The Time Goes?,Fairport Convention,Unhalfbricking,2026-05-01T21:32:42,310173,1,2026-05-01,1.5,4.32
3,5qmlexKxaI31MvFhObUCZm,68W3ppXWhsOLOURmxzRkyA,7M1FPw29m5FbicYzS2xdpi,The Devils Triangle,King Crimson,In The Wake Of Poseidon,2026-05-01T21:27:27,697023,4,2026-05-01,6.0,13.86
4,6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-01T21:12:15,687373,4,2026-05-01,4.5,12.35
5,4UhB17vQsTP0qM9grc4ZUi,6wDCNTOXnKI8E4WrsdeJH9,1CD77o9fbdyQFrHnUPUEsF,Empty Pages - Remastered 2010,Traffic,John Barleycorn Must Die Deluxe Edition,2026-05-01T21:09:30,274680,2,2026-05-01,3.0,7.32
6,4SoykGLnLQPgQUkrKQxNYq,5UI2X5VAmgu9xrlXDd5U7B,1PCZpxHJz7WAMF8EEq8bfc,Change Is Now - Single Version,The Byrds,The Notorious Byrd Brothers,2026-05-01T21:05:01,201266,1,2026-05-01,1.5,3.9699999999999998
7,1rw12PalmC8IDoygHT3fm1,1VHLlFuKZYLVhnLanVzJxF,0nCiidE5GgDrc5kWN3NZgZ,From the Beginning,"Emerson, Lake & Palmer",Trilogy,2026-05-01T20:55:01,256333,1,2026-05-01,1.5,4.16
8,4ZCK0R2BRtXxHH8Fb1vq2n,2WO6VIu5x3rMXWcMzH36jl,3Uz6jx81OY2J5K8Z4wmy2P,Never Let Go - Single Version / Remastered 2023,Camel,Camel (Expanded Edition),2026-05-01T20:48:30,216733,1,2026-05-01,1.5,4.03
9,4NAP1NmknfmMkKuDi4fhxI,1uXol4dKqzMsUiqvHpwhZh,7AC976RDJzL2asmZuz7qil,Siberian Khatru - 2025 Remaster,Yes,Close to the Edge (Super Deluxe Edition),2026-05-01T19:13:32,537373,3,2026-05-01,4.5,10.83
10,0RymZK3n4wILiqOfQzzMsS,2fwr3utdlIdPX9cMjZ1QYW,1MD5pgVzlusqGyuSTcTxvu,Impressioni di Settembre,Premiata Forneria Marconi,Celebration 1972-2012,2026-05-01T18:41:46,344400,1,2026-05-01,1.5,4.41
11,2ln1kC2KAxzr8d6pRkxWbq,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,I Get Up I Get Down - Remix,Yes,The Steven Wilson Remixes,2026-05-01T18:36:16,344925,1,2026-05-01,1.5,4.41
12,092Do4luuSxuhhdCAlH0vo,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,Total Mass Retain - Remix,Yes,The Steven Wilson Remixes,2026-05-01T17:54:38,144171,1,2026-05-01,1.5,3.7199999999999998
13,5z0a7b6MXxCa2TAFrfCKNW,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,The Solid Time of Change - Remix,Yes,The Steven Wilson Remixes,2026-05-01T17:52:09,364302,1,2026-05-01,1.5,4.46
14,6mAQOxxt839lfifqME35Pe,1dbVSQR5jcw5rdngMyA3d8,7M1FPw29m5FbicYzS2xdpi,Discipline,King Crimson,The Condensed 21st Century Guide To King Crimson (1969 - 2003),2026-05-01T17:33:52,302613,1,2026-05-01,1.5,4.3
15,0pVx93u0NdATyRJcqkKaqP,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Il Ballo Del Potere,Franco Battiato,Gommalacca,2026-05-01T11:37:25,265413,1,2026-05-01,1.5,4.1899999999999995
16,50eMzYSsS35VhHAerXt2Wu,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Il Banchetto - Live In Japan 2002,Premiata Forneria Marconi,Live In Japan 2002,2026-05-01T10:37:02,187053,1,2026-05-01,1.5,3.92
17,6rbLGESJIt0IdCWcrXtrFK,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,L'Evoluzione,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-01T10:37:02,1006400,5,2026-05-01,6.0,15.440000000000001
18,2rWEbA4iZyJ0jMthYmKkSs,1WeTsUeoyJBDYiqdoCtO8I,4RuYtHjAKBufQRqBUMiOfK,Fino Alla Mia Porta,Banco Del Mutuo Soccorso,Come in un'ultima cena,2026-05-01T10:37:02,276333,1,2026-05-01,1.5,4.22
19,176RyR4Ac2kU0bEI4uycWs,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Traccia II,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T10:37:02,159226,1,2026-05-01,1.5,3.8
