album_id,album_name,duration_min
6NiJ8vCXUZoeqUIyhUDNZX,Uomo Di Pezza,20.5
1WeTsUeoyJBDYiqdoCtO8I,Come in un'ultima cena,20.36
2PCEOY4qPikMSRr3wix9V6,In a Word: Yes (1969 – ),20.18
1dbVSQR5jcw5rdngMyA3d8,The Condensed 21st Century Guide To King Crimson (1969 - 2003),19.53
7bJytEOVzTT0TIYfL18hU9,Third,19.12
6hmPrGhVrpJVG8lnl7FLOa,Duty Now For The Future/New Traditionalists,18.35
6iVOz2hudE6dv5Yrcsw2c9,Goats Head Soup (Remastered 2009),18.0
7GkJWXDdRuZyUvVKCbKujO,"Platz der Republik, West-Berlin - August 1st 1987",17.86
2DZEwt8Lhz6PuqxsJWF7Ap,Mirage,17.64
6nNlTIiFd3J06W0rJiiwlz,90125 (Deluxe Version),17.16
1INPNU4BLdbKeLQqcYTGnx,Music Complete,17.0
2OulSxrNGCvCvz5rX7lUH5,L'Arca Di Noè (2008 Remastered Edition),17.0
2vqzKJO8HeMffaSHxg74ln,The Virgin Years: 1974-1978,16.96
4eJ3LJl4sHKs3nd8CZ9hq5,Three of a Perfect Pair,16.75
4Qxx712hAyTvTsl1EsWeRj,Blue Camel,16.68
0jHU4ZZlBe5ydS9LFx3JK4,White Feathers [Manhattan Clique Remixes],16.33
0BZQ56leyRCyZu3jdXMZ87,Just Another Band From East L.A.: A Collection,16.15
2QKQ8eySlOAREIrFsMRCT8,"Music For The Masses | The 12"" Singles",15.95
3tZmzx3Og386HMV4vp4Dli,Caffé De La Paix (2008 Remastered Edition),15.57
47hOpZQfXVIRzTiv0Ef8pO,Let It Bleed (50th Anniversary Edition / Remastered 2019),15.450000000000001
