track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,year,month,day,played_at_hour,duration_mins,track_score,track_score_daily
7sMYoSEOYql0EwuWvchgD9,4ODlRs61uBFoP7HspXs1je,22bE4uQ6baNwSHPVcDxLCe,The Under Assistant West Coast Promotion Man - Edit / Mono,The Rolling Stones,Out Of Our Heads (UK),2026-05-12T20:59:39,187866,2026,5,12,20,3.13,26.48,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
4fAYkoqIfiYiTuDFtsirib,6SOihxycNpKEwRiYKvlHOi,2caOYPej26UoQOyFnzXW3G,Seduto sotto un platano,Lucio Battisti,Amore e non amore,2026-05-06T15:52:14,187264,2026,5,6,15,3.12,26.46,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
50eMzYSsS35VhHAerXt2Wu,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Il Banchetto - Live In Japan 2002,Premiata Forneria Marconi,Live In Japan 2002,2026-05-01T10:37:02,187053,2026,5,1,10,3.12,26.45,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3kp9Ji3GSt62461FZ2gTLj,5v9MxUngO1GZ5rtxLtWokm,4lianjyuR1tqf6oUX8kjrZ,L'animale,Franco Battiato,Torneremo Ancora,2026-05-10T10:50:48,185933,2026,5,10,10,3.1,26.4,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
3Z7RFRu0DtvtdTjW8jTb0H,4i4vBlYN3KTrP46JYKi0zN,5UefiThiZ352HWMOgZvOhx,Rose Fragrance,Dhafer Youssef,Shiraz,2026-05-07T04:17:50,184933,2026,5,7,4,3.08,26.36,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
3Sdv2WK1FnTn02cDgWmQoq,08WECxW5Pz0dIcEabHkIzU,1MD5pgVzlusqGyuSTcTxvu,Mondi paralleli - Live in Lugano,Premiata Forneria Marconi,The Event - Live in Lugano,2026-05-15T17:08:50,182133,2026,5,15,17,3.04,26.24,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
1sjmKmR4u9xDeJHjDCn2bZ,1ntNLgaYCFCkeW4flGYlY2,3WrFJ7ztbogyGnTHbHJFl2,Penny Lane,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),2026-05-10T21:17:53,182053,2026,5,10,21,3.03,26.24,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
7s1fLxwhmKa6VDNqzJzOsE,2c6BUJGIxa4SA94iYX4JkT,4Ww5mwS7BWYjoZTUIrMHfC,Ornithology,Charlie Parker,The Complete Savoy & Dial Master Takes,2026-05-06T15:08:44,181600,2026,5,6,15,3.03,26.22,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
5TQ2pztJIwLEPrzuSIsBmF,2zYEcirgirihBtUr9ninD6,1SQRv42e4PjEYfPhS0Tk9E,Animal Farm - 2018 Stereo Remaster,The Kinks,The Kinks Are the Village Green Preservation Society,2026-05-02T17:26:45,181533,2026,5,2,17,3.03,26.21,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25xC2O5yD6YKWl1GuSTIDn,0B840ackxxJhZFcN2k6pGk,02frazNrWgZCxUEf4UTfHt,Theme 1,Van Der Graaf Generator,The Box,2026-05-11T20:29:00,181293,2026,5,11,20,3.02,26.2,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
