track_id,album_id,artist_id,track,artist,album_name,played_at
50eMzYSsS35VhHAerXt2Wu,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Il Banchetto - Live In Japan 2002,Premiata Forneria Marconi,Live In Japan 2002,2026-05-01T10:37:02
6rbLGESJIt0IdCWcrXtrFK,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,L'Evoluzione,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-01T10:37:02
2rWEbA4iZyJ0jMthYmKkSs,1WeTsUeoyJBDYiqdoCtO8I,4RuYtHjAKBufQRqBUMiOfK,Fino Alla Mia Porta,Banco Del Mutuo Soccorso,Come in un'ultima cena,2026-05-01T10:37:02
176RyR4Ac2kU0bEI4uycWs,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Traccia II,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T10:37:02
3UidBOm9Cl9N7tfLAtHHpo,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,La Conquista Della Posizione Eretta,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-01T10:37:02
5TjLHZ8tPECmCgR2LvlFWd,6JHd5ZgLC06c0Id5e2Vbz3,1MD5pgVzlusqGyuSTcTxvu,La grande Pasqua russa,Premiata Forneria Marconi,PFM in Classic - Da Mozart a Celebration,2026-05-01T10:37:02
6wNZa5e5DVBwMbqB4uYuXp,0Ft1jEOyGY74ZgHb1FYO4U,4RuYtHjAKBufQRqBUMiOfK,750.000 anni fa... l'amore?,Banco Del Mutuo Soccorso,Darwin!,2026-05-01T10:37:02
7l2Gh3fSaknNtzOxFuadeC,3gISC18IyM5W4fd3bVz9hk,1MD5pgVzlusqGyuSTcTxvu,Nuvole Nere,Premiata Forneria Marconi,Serendipity,2026-05-01T10:37:01
3yllEGh0om4VrFThDlFXXY,7cLNFRklt2EupipdILxJc7,7nQZVqkaUxa3A62UJSisSB,Il giro del cappio,La coscienza di Zeno,La notte anche di giorno,2026-05-01T10:37:01
2sG6kG8mEDaiv7AN0TJ310,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Apparenza e realtà,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-01T10:37:01
0dkkRsEy6Td8ocFG1ACLsT,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Non mi rompete,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T07:03:36
5sR0z233pgvP2D7w39qCZe,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Drive (Grundfunken),NEU!,NEU!,2026-05-02T19:28:28
4RMMYBTQ35CCRNx4nlAANq,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Crazy,NEU!,NEU!,2026-05-02T19:23:01
3776wlNwK1mLH4ycuBNuWn,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Dänzing,NEU!,NEU!,2026-05-02T19:19:37
2BqHy0cZJnERHLaDpX2jdy,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Intro,NEU!,NEU!,2026-05-02T19:16:53
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-02T19:16:34
0Rumj64tAP1jhImDkzple6,3oUXNITVgUpdN2cUwH3hmS,0ifzzRKdmtgaHy9cfnnyCR,Focus II,Focus,Moving Waves,2026-05-02T19:06:35
3FNgaN6nlCk8o3viucsVIL,0BOPrAV0Lk52MXS2d52uOO,0ifzzRKdmtgaHy9cfnnyCR,Janis - Remastered,Focus,Moving Waves (2020 Remastered Edition),2026-05-02T19:02:04
1d6WoMWzq2YTfGxUP94Rgy,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Bandiera Bianca,Premiata Forneria Marconi,Live In Japan 2002,2026-05-02T18:59:04
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-02T18:53:03
