track_id,track,plays,track_unique_days,log_dur_min,track_score
1dpCISxLihabD2i6geppcA,Pigeons,4,3,1.172482137234565,9.91
3h7hkPvohAzGCiDvbGeQ0Y,Ergonomics,4,3,1.169381359556317,9.9
5dC9NQCbU6i3T3S4nyg23y,Tiergarten,4,3,1.1568811967920856,9.89
76MTIfR8jEZ5T0yEP5qIvt,Cat Walk,3,3,1.937301774518713,9.82
5PtndrR1yYsj2BSoo89S6w,Man-Erg,4,2,2.3398808777377424,9.81
0O9dtCsMTsVIo0tF8AVJQ5,La discesa dal treno,3,3,1.8325814637483102,9.7
1VEIMGVXj7713dHY9gZLyU,Waiting for the Night,3,3,1.8115620965242347,9.67
05UJltDoeueldFVcn7IeWQ,Sleep,3,3,1.7833912195575383,9.64
5FgQkEcqMXCqFdcsEx143b,The Four Horsemen,3,3,1.7732559976634952,9.63
1qkp9OvCk8FjeDdEd2bKQ6,Alpha,3,3,1.747459210331475,9.6
64EYxmO7v1pNbSgKvXNkfk,Melting the Ice Away,3,3,1.6695918352538475,9.5
4LRwNbgbd6DusUfOWREM9G,Turn Your Back on Me,3,3,1.6272778305624314,9.45
0jYpOvA5P19kn9a4aA4zqE,L'Isola Elefante,3,3,1.5871923034867805,9.4
0MSYmBxKuO7gC6tL5iDqV4,Islands,3,3,1.5810384379124025,9.4
030ffOIPEEHxY86mYqVEQP,Cat Food,3,3,1.5851452198650557,9.4
6nl0oUn7TlqoUc59BOG0XS,Neurotica,3,3,1.5748464676644813,9.39
7ICgC6ExhlaEZntSVPRtPM,Gli Uccelli,3,3,1.5644405465033646,9.38
5jFD6SEWH4V3GSo87tkvLk,La Pulce D'Acqua,3,3,1.556037135706985,9.37
5mGq3cybgQDZgTEbu9ldV9,Man Gave Names to All the Animals,3,3,1.4951487660319727,9.29
0vObTdok3btgvyR3MC33I0,Waiting Man,3,3,1.4951487660319727,9.29
2WtslakEz6s0PcIgynJpnc,Oceano Di Silenzio,3,3,1.4861396960896067,9.28
7JYDQK92DhsXpynZ2kkXfs,La Mela Di Odessa,4,2,1.8931119634883424,9.27
49Ufp2YksR78HhzjIISVWo,Neal And Jack And Me,3,3,1.4747630091074988,9.27
0HOOIjvwMNB9IL0G64gKKL,On a Plane,3,3,1.4422019930581866,9.23
54eZmuggBFJbV7k248bTTt,A Horse with No Name,3,3,1.4350845252893227,9.22
7B3B9tt6XJQdch3DrbvWC4,Monkey Man,3,3,1.4350845252893227,9.22
5RvojOmq8Yrvg2FNKbRmlN,Le Aquile,3,3,1.430311246536665,9.22
2bI94nOOcNeRxccUF9y8aH,Shakin',3,3,1.3686394258811698,9.14
4WoKuMjwJXuy9IqX6AH5JE,People Are People,3,3,1.3532545070416904,9.12
2de98HzQLgj4mN9X68IjAu,Wonderous Stories,3,3,1.3402504226184837,9.11
15l2kEwhZSsj01tZnNzyZ2,Animals,3,3,1.2556160374777743,9.01
4Xnx46oORhi3xt5m23Qzse,Transumanza jam,3,3,1.2178757094949273,8.96
1MSfzutmY6uBu7oBHTv60C,L'Animale,3,3,1.2029723039923526,8.94
5xYC2ZJJ9TMJL8BOl85O2R,Hey Bulldog,3,3,1.1600209167967532,8.89
3EZVUewtbfJMuiu21SxRaH,A Plague Of Lighthouse Keepers,2,2,3.1484533605716547,8.78
0suLngfo7rJoetk7Ub6N8l,Octopus's Garden,3,3,1.0473189942805592,8.76
6od40KsZR8dSJMxgpENBvr,Animal Instincts,3,3,0.9932517730102834,8.69
0MGdMLE0oo28ueP6xNSBdN,Dog Breath Variations,3,3,0.7514160886839212,8.4
0VLETiR8ft4wZHlCQf3UAf,Freefall,3,2,1.7715567619105355,8.13
1WvAEqmGYmu0DMWCcXMxQk,Dead Pigeon Suite,2,2,2.4664031782234406,7.96
06A2v1vXdG6WISnC18RcbL,Lemmings (Including Cog),2,2,2.4561641809223462,7.95
7HDv9WfmLNinEJx8iZIE1m,Dream Gerrard,2,2,2.401525040848949,7.88
2wqWJna7kLeoUpAZhfX8YS,La Rossa,2,2,2.28949985344539,7.75
3XZD0qEHYoCTnQe9ps8HeQ,Abre la puerta,2,2,2.286455711064162,7.74
5tb8T4WJ5SULuf8lNkVfEp,The Things You Said,3,2,1.3987168811184478,7.68
7bBPlEQxfD3t9OQWVdx71R,White Feathers,3,2,1.3480731482996928,7.62
5Vpv9XW9djsKvoSDVfUSLz,Paninaro,2,2,2.1587147225743437,7.59
63soSLcwqpJFJaI5OgnnC2,China Cat Sunflower,3,2,1.308332819650179,7.57
2TD9Ve5cJai60TYSEidgxD,Il Mietitore,3,2,1.2837077723447896,7.54
0CQwOxnMK1yRJaptJ0dkC7,Ooh to Be Ah,3,2,1.2781522025001875,7.53
7FcLgWXLFyAmDrKXIDNwcF,Metal,3,2,1.2669476034873244,7.52
