track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,dt,day,hour,month,hlp,duration_min,track_short,time_of_day
3S0KgMao9oX73ka3QZe5mM,4XGVFJ14g3Ms1Q5MWVvPAT,7AC976RDJzL2asmZuz7qil,To The Moment,Yes,From A Page,2026-06-14T03:05:32,372682,2026-06-14,14,3,6,1,6.21,To The Moment,nachts
70RLFFKDKc4CUr9zAbgdTE,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Watching the River Roll (Bonus Track),Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:59:19,280826,2026-06-14,14,2,6,1,4.68,Watching the River Roll (Bonus Track),nachts
0cfrl4nmiCaQQWbaHZ4Wzf,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Jambustin' (Bonus Track),Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:54:39,262586,2026-06-14,14,2,6,1,4.38,Jambustin' (Bonus Track),nachts
3d4UP8Jr6YwGQcAPvQggFW,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Emotional Intelligence,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:50:16,210280,2026-06-14,14,2,6,1,3.5,Emotional Intelligence,nachts
69On1vO9etrJO59yR6tZd6,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Outside the Box,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:46:46,258933,2026-06-14,14,2,6,1,4.32,Outside the Box,nachts
2upJXqqYAElEcF5MvQvHC8,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,All Hands on Deck,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:42:27,183106,2026-06-14,14,2,6,1,3.05,All Hands on Deck,nachts
5URviaygae7qWBkehczy9L,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Ariadne,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:39:24,374186,2026-06-14,14,2,6,1,6.24,Ariadne,nachts
4e9w7ixPl6L3fnH1naYdnd,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Countermovement,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:33:10,824400,2026-06-14,14,2,6,1,13.74,Countermovement,nachts
6nMY6W3CvmBEOHTGrlm6PC,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Love Lies Dreaming,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:19:25,384880,2026-06-14,14,2,6,1,6.41,Love Lies Dreaming,nachts
3q7sMXpdoCAC1BpAaeZIPJ,5TDltjAh03cwDinX4SXwnR,7AC976RDJzL2asmZuz7qil,Turnaround Situation,Yes,Aurora (Bonus Tracks Edition),2026-06-14T02:13:00,348360,2026-06-14,14,2,6,1,5.81,Turnaround Situation,nachts
