artist,morgens,nachmittags,abends,nachts
New Order,323.04,307.84,170.48,222.56
Yes,89.87,140.14,16.85,142.76
Ultravox,62.29,238.6,28.34,16.98
Franco Battiato,54.07,131.47,92.33,3.33
Kajagoogoo,91.79,28.71,130.77,28.85
Tangerine Dream,28.31,185.2,28.4,5.14
Angelo Branduardi,5.47,114.12,79.47,4.89
Dissidenten,38.39,97.61,31.79,0.0
Van Der Graaf Generator,11.61,89.73,59.73,12.8
Vangelis,0.0,51.53,100.38,0.0
